t1550845695.59 U20.8133312456 I-71.9978 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845695.7 U20.8028312456 I-71.9978 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845695.8 U20.8213312181 I-71.9838 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845695.91 U20.803756225 I-71.9873 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.02 U20.8320062387 I-71.9943 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.13 U20.8294812318 I-71.9908 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.24 U20.8411969669 I-72.0014 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.35 U20.8397312456 I-71.9978 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.45 U20.8195404899 I-71.9767 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.56 U20.8135654968 I-71.9802 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.67 U20.8051812318 I-71.9908 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.78 U20.8055312181 I-71.9838 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845696.89 U20.8072654968 I-71.9802 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845696.99 U20.8133312456 I-71.9978 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.1 U20.8376312456 I-71.9978 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.21 U20.8030812318 I-71.9908 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.32 U20.8369969669 I-72.0014 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.43 U20.803756225 I-71.9873 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.53 U20.8129312181 I-71.9838 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.64 U20.8262812318 I-71.9908 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.75 U20.7886312181 I-71.9838 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.86 U20.8355312456 I-71.9978 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845697.97 U20.8267062387 I-71.9943 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845698.07 U20.805856225 I-71.9873 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845698.18 U20.8199812318 I-71.9908 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845698.29 U20.8214062387 I-71.9943 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845698.4 U20.8308312181 I-71.9838 T_a14.5 T_p18.5220016363 R0.407144818947, 
t1550845698.51 U20.823856225 I-71.9873 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845698.61 U20.7878404899 I-71.9767 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845698.72 U20.788956225 I-71.9873 T_a14.5 T_p18.7947769654 R0.407144818947, 
